Unnamed: 0,Name,Rating,Address,"Latitude, Longitude",Station
18,Mumbai Shopping Place,4.8,"345-357, Swami Vivekananda Rd, Fish Market Area, Navneeth Colony, Andheri West, Mumbai, Maharashtra 400058","19.124103788165186, 72.84646778544186",andheri
14,Gio Gallary,4.4,"400047, S B Singh Colony, J B Nagar, Andheri East, Mumbai, Maharashtra","19.112587846481038, 72.8656579550539",andheri
12,Fun Republic Mall,4.3,"near Cinépolis, Fun Republic Rd, Andheri West, Mumbai, Maharashtra 400102","19.136880127537566, 72.83315531543485",andheri
9,Infiniti Mall,4.2,"New Link Rd, Phase D, Oshiwara, Andheri West, Mumbai, Maharashtra 400053","19.14258949117914, 72.83067851513245",andheri
10,Sangam complex,4.1,"Sangam Complex, Andheri - Kurla Rd, Dr. Charatsingh Colony, S B Singh Colony, J B Nagar, Andheri East, Mumbai, Maharashtra 400053","19.114749620027414, 72.86482203228563",andheri
26,Parle Square Mall,4.4,"Shyam Kamal Road, Agarwal Market, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057","19.103665758261915, 72.8459235530476",vileparle
28,Alfa Market Irla,4.3,"54, Irla Rd, ONGC Colony, Tata Colony, Vile Parle West, Mumbai, Maharashtra 400056","19.11104604095937, 72.83759797591723",vileparle
22,Municipal Market,4.2,"Agarwal Market, Park Road, Vile Parle, Mumbai, Maharashtra 400047","19.10358465442496, 72.84480775405075",vileparle
21,Kamdar shopping centre,4.1,"7, Monghibai Rd, Agarwal Market, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057","19.102854718103035, 72.84463609266662",vileparle
24,Max,4.1,"BN Agarwal Commercial Complex, 1st & 2nd Flr, Parle Square Mall, Monghibai Rd, Navpada, Vile Parle East, Mumbai, Maharashtra 400057","19.102286987626005, 72.84549439958727",vileparle
3,Central,4.7,"Oberoi Mall, Near International Business Park, Goregaon East Oberoi Garden City, near International Business Park, Goregoan, Maharashtra 400063","19.163904976574845, 72.85739572532401",goregaon
0,Oberoi Mall,4.4,"Yashodham, Goregaon, Mumbai, Maharashtra 400063","19.175741390418132, 72.8603997995463",goregaon
2,City Center Mall- Goregaon West - Park+,4.2,"City Centre Mall, Tarce, Swami Vivekananda Rd, Goregaon West, Mumbai, Maharashtra 400047","19.16389778030283, 72.84486095605706",goregaon
37,Shoppers India 50,5.0,"Grace Residency, 101, Swami Vivekananda Rd, Bandra West, Mumbai, Maharashtra 400050","19.061927871906658, 72.83710676378882",bandra
33,Globus Mall,4.3,"110, Hill Rd, Bandra West, Mumbai, Maharashtra 400050","19.05633020359909, 72.83397394352842",bandra
34,Bandra 190,4.2,"Turner Rd, Bandra West, Mumbai, Maharashtra 400050","19.059778065121513, 72.83491808114114",bandra
36,Elco Arcade,4.1,"Hill Rd, Bandra West, Mumbai, Maharashtra 400050","19.05645189404949, 72.83305126358871",bandra
38,Crystal Shoppers Paradise,4.1,"Shop No.4, 33/24, 495, seven Star Building, Cross, Linking Rd, opp. Starbucks Coffee, near KFC, Khar West, Mumbai, Maharashtra 400052","19.065657614316795, 72.8334732003984",bandra
